year,co2data
1960,88202.351
1961,90589.568
1962,94912.961
1963,101029.517
1964,108979.573
1965,120966.996
1966,120332.605
1967,129265.417
1968,134622.904
1969,142257.598
1970,147618.752
1971,152774.554
1972,157486.649
1973,170992.21
1974,172356.334
1975,175883.988
1976,174244.839
1977,187787.07
1978,202015.03
1979,205069.641
1980,220746.066
1981,230360.94
1982,234119.615
1983,225003.453
1984,236594.84
1985,241229.928
1986,239964.813
1987,256106.947
1988,261145.405
1989,277771.583
1990,263704.971
1991,261471.768
1992,267984.36
1993,277397.549
1994,278119.948
1995,281860.288
1996,302164.467
1997,305794.797
1998,316883.805
1999,325343.574
2000,329443.28
2001,324844.862
2002,341353.696
2003,336271.234
2004,342699.485
2005,350172.831
2006,365346.877
2007,372090.49
2008,385904.079
2009,394792.887
2010,390861.863
2011,391818.95
2012,388126.281
2013,372317.844
2014,361316.844
2015,365332.209
2016,375907.837
