Year,Mean,Uncertainty
11/1/1980,338.8,0.1
11/1/1981,340,0.1
11/1/1982,340.77,0.1
11/1/1983,342.44,0.1
11/1/1984,343.99,0.1
11/1/1985,345.47,0.1
11/1/1986,346.87,0.1
11/1/1987,348.62,0.1
11/1/1988,351.15,0.1
11/1/1989,352.79,0.1
11/1/1990,353.98,0.1
11/1/1991,355.29,0.1
11/1/1992,355.99,0.1
11/1/1993,356.71,0.1
11/1/1994,358.21,0.1
11/1/1995,360.05,0.1
11/1/1996,361.79,0.1
11/1/1997,362.9,0.1
11/1/1998,365.54,0.1
11/1/1999,367.64,0.1
11/1/2000,368.84,0.1
11/1/2001,370.41,0.1
11/1/2002,372.42,0.1
11/1/2003,374.96,0.1
11/1/2004,376.8,0.1
11/1/2005,378.81,0.1
11/1/2006,380.94,0.1
11/1/2007,382.68,0.1
11/1/2008,384.78,0.1
11/1/2009,386.29,0.1
11/1/2010,388.57,0.1
11/1/2011,390.45,0.1
11/1/2012,392.46,0.1
11/1/2013,395.19,0.1
11/1/2014,397.12,0.1
11/1/2015,399.41,0.1
11/1/2016,402.86,0.1
11/1/2017,405,0.1
