Year,CO2
1960,2890696.1
1961,2880505.507
1962,2987207.873
1963,3119230.874
1964,3255995.306
1965,3390922.571
1966,3561878.111
1967,3695708.943
1968,3831354.94
1969,4024748.853
1970,4328904.501
1971,4356770.034
1972,4564952.958
1973,4770194.948
1974,4598487.673
1975,4406329.539
1976,4613100.668
1977,4742292.745
1978,4890861.25
1979,4901796.244
1980,4723209.677
1981,4535800.308
1982,4306748.487
1983,4341878.347
1984,4475192.132
1985,4492555.377
1986,4495463.308
1987,4688373.177
1988,4892526.068
1989,4955081.421
1990,4823403.118
1991,4820847.219
1992,4909533.614
1993,5028674.444
1994,5094354.081
1995,5132919.92
1996,5252112.088
1997,5368715.354
1998,5401010.623
1999,5504669.379
2000,5693684.894
2001,5595794.329
2002,5641309.133
2003,5675701.926
2004,5756075.232
2005,5789727.291
2006,5697285.888
2007,5789030.561
2008,5614110.994
2009,5263505.457
2010,5395532.125
2011,5270047.385
2012,5081999.958
2013,5170359.99
2014,5225412.661
2015,5126913.374
2016,5006302.077
